State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Bihar,Agiaon,PRABHUNATH PRASAD,Janata Dal  (United),43334,291,43625,31.66
Bihar,Agiaon,SHIV PRAKASH RANJAN,Communist Party of India  (Marxist-Leninist)  (Liberation),73191,269,73460,53.31
Bihar,Agiaon,UPENDRA KUMAR S/O - CHANDESHWAR RAM,Independent,6414,4,6418,4.66
Bihar,Agiaon,UPENDRA KUMAR S/O- VAIJNATH RAM,Independent,1380,3,1383,1
Bihar,Agiaon,PRADEEP KUMAR,Independent,1296,8,1304,0.95
Bihar,Agiaon,BHIKHARI RAM,Independent,1044,4,1048,0.76
Bihar,Agiaon,VIJAY MEHRA,Independent,1493,2,1495,1.08
Bihar,Agiaon,SARASWATI DEVI,Independent,1810,11,1821,1.32
Bihar,Agiaon,SONU KUMAR,Independent,3315,7,3322,2.41
Bihar,Agiaon,NOTA,None of the Above,3909,22,3931,2.85
Gujarat,Vijapur,DR. C. J. CHAVDA,Bharatiya Janata Party,99083,1558,100641,67.49
Gujarat,Vijapur,DINESHBHAI TULSIBHAI PATEL,Indian National Congress,43393,1020,44413,29.78
Gujarat,Vijapur,ANKITKUMAR HARSHADBHAI GOHIL,Independent,960,4,964,0.65
Gujarat,Vijapur,CHAUHAN DINUSINH LAXMANSINH,Independent,367,11,378,0.25
Gujarat,Vijapur,CHAUHAN HARSHADKUMAR PURUSHOTTAMBHAI,Independent,313,1,314,0.21
Gujarat,Vijapur,PATEL TRUSHALKUMAR ARVINDBHAI,Independent,532,11,543,0.36
Gujarat,Vijapur,PARMAR ARVINDBHAI JIVANBHAI,Independent,316,5,321,0.22
Gujarat,Vijapur,SAIYAD MUNAFALI KADARALI,Independent,346,1,347,0.23
Gujarat,Vijapur,NOTA,None of the Above,1140,55,1195,0.8
Gujarat,Porbandar,ARJUN DEVABHAI MODHWADIA,Bharatiya Janata Party,131854,1309,133163,85.96
Gujarat,Porbandar,ODEDARA RAJU BHIMA,Indian National Congress,16096,259,16355,10.56
Gujarat,Porbandar,RASIK GHELA MANGERA,Viro Ke Vir Indian Party,785,21,806,0.52
Gujarat,Porbandar,ASHVIN DEVAJI MOTIVARAS,Independent,470,7,477,0.31
Gujarat,Porbandar,JUNGI JIVANBHAI RANCHHODBHAI,Independent,1077,12,1089,0.7
Gujarat,Porbandar,DILAWAR LAKHABHAI JOKHIA,Independent,383,3,386,0.25
Gujarat,Porbandar,NOTA,None of the Above,2558,75,2633,1.7
Gujarat,Manavadar,ARVINDBHAI JINABHAI LADANI,Bharatiya Janata Party,80898,1119,82017,60.03
Gujarat,Manavadar,HARIBHAI GOVINDBHAI KANSAGARA,Indian National Congress,50101,900,51001,37.33
Gujarat,Manavadar,PARMAR MAHESH RAMJIBHAI,Independent,1057,16,1073,0.79
Gujarat,Manavadar,SOLANKI UMEDBHAI JENTIBHAI,Independent,593,4,597,0.44
Gujarat,Manavadar,NOTA,None of the Above,1849,101,1950,1.43
Gujarat,Khambhat,CHIRAGKUMAR ARVINDBHAI PATEL,Bharatiya Janata Party,87707,750,88457,56.3
Gujarat,Khambhat,MAHENDRASINH HARISINH PARMAR,Indian National Congress,49505,624,50129,31.91
Gujarat,Khambhat,CHAUHAN MAHIPATSINH KESARISINH,Independent,15631,185,15816,10.07
Gujarat,Khambhat,MANUBHAI JETHABHAI VANKAR,Independent,795,11,806,0.51
Gujarat,Khambhat,NOTA,None of the Above,1886,23,1909,1.22
Gujarat,Vaghodia,KANUBHAI PUNJABHAI GOHIL,Indian National Congress,45144,194,45338,25.65
Gujarat,Vaghodia,DHARMENDRASINH VAGHELA (BAPU),Bharatiya Janata Party,126905,541,127446,72.1
Gujarat,Vaghodia,NOTA,None of the Above,3943,29,3972,2.25
Haryana,KARNAL,TARLOCHAN SINGH,Indian National Congress,53231,233,53464,35.13
Haryana,KARNAL,NAYAB SINGH,Bharatiya Janata Party,94714,290,95004,62.43
Haryana,KARNAL,RAJINDER,Jannayak Janta Party,1072,1,1073,0.71
