Party,Constituency,Parliament Constituency,Winning Candidate,Total Votes,Margin
Andhra Pradesh,Telugu Desam,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901
Andhra Pradesh,Telugu Desam,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351
Andhra Pradesh,Telugu Desam,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247
Andhra Pradesh,Telugu Desam,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196
Andhra Pradesh,Telugu Desam,Eluru(10),PUTTA MAHESH KUMAR,746351,181857
Andhra Pradesh,Telugu Desam,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085
Andhra Pradesh,Telugu Desam,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695
Andhra Pradesh,Telugu Desam,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729
Andhra Pradesh,Telugu Desam,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031
Andhra Pradesh,Telugu Desam,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199
Andhra Pradesh,Telugu Desam,Nandyal(17),DR BYREDDY SHABARI,701131,111975
Andhra Pradesh,Telugu Desam,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298
Andhra Pradesh,Telugu Desam,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555
Andhra Pradesh,Telugu Desam,Hindupur(20),B K PARTHASARATHI,725534,132427
Andhra Pradesh,Telugu Desam,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902
Andhra Pradesh,Telugu Desam,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479
Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580
Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Kadapa(21),Y. S. AVINASH REDDY,605143,62695
Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569
Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Rajampet(24),P V MIDHUN REDDY,644844,76071
Andhra Pradesh,Bharatiya Janata Party,Anakapalle(5),C.M.RAMESH,762069,296530
Andhra Pradesh,Bharatiya Janata Party,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139
Andhra Pradesh,Bharatiya Janata Party,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802
Andhra Pradesh,Janasena Party,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491
Andhra Pradesh,Janasena Party,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179
Andaman and Nicobar Islands,Bharatiya Janata Party,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396
Arunachal Pradesh,Bharatiya Janata Party,Arunachal West(1),KIREN RIJIJU,205417,100738
Arunachal Pradesh,Bharatiya Janata Party,Arunachal East(2),TAPIR GAO,145581,30421
Assam,Bharatiya Janata Party,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012
Assam,Bharatiya Janata Party,Guwahati(5),BIJULI KALITA MEDHI,894887,251090
Assam,Bharatiya Janata Party,Diphu(6),AMARSING TISSO,334620,147603
Assam,Bharatiya Janata Party,Karimganj(7),KRIPANATH MALLAH,545093,18360
Assam,Bharatiya Janata Party,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311
Assam,Bharatiya Janata Party,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947
Assam,Bharatiya Janata Party,Sonitpur(11),RANJIT DUTTA,775788,361408
Assam,Bharatiya Janata Party,Lakhimpur(12),PRADAN BARUAH,663122,201257
Assam,Bharatiya Janata Party,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321
Assam,Indian National Congress,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476
Assam,Indian National Congress,Nagaon(9),PRADYUT BORDOLOI,788850,212231
Assam,Indian National Congress,Jorhat(14),GAURAV GOGOI,751771,144393
Assam,"United People’s Party, Liberal",Kokrajhar (1),JOYANTA BASUMATARY,488995,51583
Assam,Asom Gana Parishad,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351
Bihar,Janata Dal (United),Valmiki Nagar (1),SUNIL KUMAR,523422,98675
Bihar,Janata Dal (United),Sheohar(4),LOVELY ANAND,476612,29143
Bihar,Janata Dal (United),Sitamarhi(5),DEVESH CHANDRA THAKUR,515719,51356
Bihar,Janata Dal (United),Jhanjharpur(7),RAMPRIT MANDAL,533032,184169
Bihar,Janata Dal (United),Supaul(8),DILESHWAR KAMAIT,595038,169803
Bihar,Janata Dal (United),Madhepura(13),DINESH CHANDRA YADAV,640649,174534
Bihar,Janata Dal (United),Gopalganj(17),DR. ALOK KUMAR SUMAN,511866,127180
Bihar,Janata Dal (United),Siwan(18),VIJAYLAKSHMI DEVI,386508,92857
Bihar,Janata Dal (United),Bhagalpur(26),AJAY KUMAR MANDAL,536031,104868
Bihar,Janata Dal (United),Banka(27),GIRIDHARI YADAV,506678,103844
Bihar,Janata Dal (United),Munger(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870
Bihar,Janata Dal (United),Nalanda(29),KAUSHALENDRA KUMAR,559422,169114
Bihar,Bharatiya Janata Party,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568
Bihar,Bharatiya Janata Party,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287
Bihar,Bharatiya Janata Party,Madhubani(6),ASHOK KUMAR YADAV,553428,151945
Bihar,Bharatiya Janata Party,Araria(9),PRADEEP KUMAR SINGH,600146,20094
Bihar,Bharatiya Janata Party,Darbhanga(14),GOPAL JEE THAKUR,566630,178156
Bihar,Bharatiya Janata Party,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927
Bihar,Bharatiya Janata Party,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651
Bihar,Bharatiya Janata Party,Saran(20),RAJIV PRATAP RUDY,471752,13661
Bihar,Bharatiya Janata Party,Ujiarpur(22),NITYANAND RAI,515965,60102
Bihar,Bharatiya Janata Party,Begusarai(24),GIRIRAJ SINGH,649331,81480
Bihar,Bharatiya Janata Party,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846
Bihar,Bharatiya Janata Party,Nawada(39),VIVEK THAKUR,410608,67670
Bihar,Lok Janshakti Party(Ram Vilas),Vaishali(16),VEENA DEVI,567043,89634
Bihar,Lok Janshakti Party(Ram Vilas),Hajipur(21),CHIRAG PASWAN,615718,170105
Bihar,Lok Janshakti Party(Ram Vilas),Samastipur(23),SHAMBHAVI,579786,187251
Bihar,Lok Janshakti Party(Ram Vilas),Khagaria(25),RAJESH VERMA,538657,161131
Bihar,Lok Janshakti Party(Ram Vilas),Jamui(40),ARUN BHARTI,509046,112482
Bihar,Rashtriya Janata Dal,Patliputra(31),MISHA BHARTI,613283,85174
Bihar,Rashtriya Janata Dal,Buxar(33),SUDHAKAR SINGH,438345,30091
Bihar,Rashtriya Janata Dal,Jahanabad(36),SURENDRA PRASAD YADAV,443035,142591
Bihar,Rashtriya Janata Dal,Aurangabad(37),ABHAY KUMAR SINHA,465567,79111
Bihar,Indian National Congress,Kishanganj(10),MOHAMMAD JAWED,402850,59692
Bihar,Indian National Congress,Katihar(11),TARIQ ANWAR,567092,49863
Bihar,Indian National Congress,Sasaram(34),MANOJ KUMAR,513004,19157
Bihar,Communist Party of India (Marxist-Leninist) (Liberation),Arrah(32),SUDAMA PRASAD,529382,59808
Bihar,Communist Party of India (Marxist-Leninist) (Liberation),Karakat(35),RAJA RAM SINGH,380581,105858
Bihar,Hindustani Awam Morcha (Secular),Gaya(38),JITAN RAM MANJHI,494960,101812
Bihar,Independent,Purnia(12),RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847
Chandigarh,Indian National Congress,Chandigarh(1),MANISH TEWARI,216657,2504
Chhattisgarh,Bharatiya Janata Party,SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822
Chhattisgarh,Bharatiya Janata Party,RAIGARH(2),RADHESHYAM RATHIYA,808275,240391
Chhattisgarh,Bharatiya Janata Party,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000
Chhattisgarh,Bharatiya Janata Party,BILASPUR(5),TOKHAN SAHU,724937,164558
Chhattisgarh,Bharatiya Janata Party,RAJNANDGAON(6),SANTOSH PANDEY,712057,44411
Chhattisgarh,Bharatiya Janata Party,DURG(7),VIJAY BAGHEL,956497,438226
Chhattisgarh,Bharatiya Janata Party,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285
Chhattisgarh,Bharatiya Janata Party,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456
Chhattisgarh,Bharatiya Janata Party,BASTAR(10),MAHESH KASHYAP,458398,55245
Chhattisgarh,Bharatiya Janata Party,KANKER(11),BHOJRAJ NAG,597624,1884
Chhattisgarh,Indian National Congress,KORBA(4),JYOTSNA CHARANDAS MAHANT,570182,43283
Dadra & Nagar Haveli and Daman & Diu,Bharatiya Janata Party,Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584
Dadra & Nagar Haveli and Daman & Diu,Independent,Daman & Diu (1),PATEL UMESHBHAI BABUBHAI,42523,6225
Goa,Bharatiya Janata Party,North Goa(1),SHRIPAD YESSO NAIK,257326,116015
Goa,Indian National Congress,South Goa(2),CAPTAIN  VIRIATO FERNANDES,217836,13535
Gujarat,Bharatiya Janata Party,Kachchh(1),CHAVDA VINOD LAKHAMSHI,659574,268782
Gujarat,Bharatiya Janata Party,Patan(3),DABHI  BHARATSINHJI  SHANKARJI,591947,31876
Gujarat,Bharatiya Janata Party,Mahesana(4),HARIBHAI PATEL,686406,328046
Gujarat,Bharatiya Janata Party,Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682
Gujarat,Bharatiya Janata Party,Gandhinagar(6),AMIT SHAH,1010972,744716
Gujarat,Bharatiya Janata Party,Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
Gujarat,Bharatiya Janata Party,Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704,286437
Gujarat,Bharatiya Janata Party,Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617
Gujarat,Bharatiya Janata Party,Rajkot(10),PARSHOTTAMBHAI RUPALA,857984,484260
Gujarat,Bharatiya Janata Party,Porbandar(11),DR. MANSUKH MANDAVIYA,633118,383360
Gujarat,Bharatiya Janata Party,Jamnagar(12),POONAMBEN HEMATBHAI MAADAM,620049,238008
